wav,start,end
PRS_25-02-24_BAI-NAI_GL-EM_yse-bs_CtoC.wav,346.6000000000103,348.9000000000106
PRS_25-02-24_BAI-NAI_GL-EM_yse-bs_CtoC.wav,351.9000000000115,354.00000000001177
PRS_25-02-24_BAI-NAI_GL-EM_yse-bs_CtoC.wav,357.9000000000129,359.60000000001304
PRS_25-02-24_BAI-NAI_GL-EM_yse-bs_CtoC.wav,360.3000000000134,361.40000000001345
PRS_25-02-24_BAI-NAI_GL-EM_yse-bs_CtoC.wav,363.2000000000141,364.50000000001415
PRS_25-02-24_BAI-NAI_GL-EM_yse-bs_CtoC.wav,382.2000000000184,390.30000000002
PRS_25-02-24_BAI-NAI_GL-EM_yse-bs_CtoC.wav,390.5000000000203,392.4000000000205
PRS_25-02-24_BAI-NAI_GL-EM_yse-bs_CtoC.wav,394.5000000000212,396.8000000000215
PRS_25-02-24_BAI-NAI_GL-EM_yse-bs_CtoC.wav,397.1000000000218,399.100000000022
PRS_25-02-24_BAI-NAI_GL-EM_yse-bs_CtoC.wav,399.60000000002236,400.60000000002236
PRS_25-02-24_BAI-NAI_GL-EM_yse-bs_CtoC.wav,400.90000000002266,402.40000000002277
PRS_25-02-24_BAI-NAI_GL-EM_yse-bs_CtoC.wav,402.9000000000231,404.6000000000233
PRS_25-02-24_BAI-NAI_GL-EM_yse-bs_CtoC.wav,406.0000000000238,408.00000000002404
PRS_25-02-24_BAI-NAI_GL-EM_yse-bs_CtoC.wav,413.20000000002545,414.20000000002545
PRS_25-02-24_BAI-NAI_GL-EM_yse-bs_CtoC.wav,415.700000000026,419.90000000002675
PRS_25-02-24_BAI-NAI_GL-EM_yse-bs_CtoC.wav,420.000000000027,424.30000000002775
PRS_25-02-24_BAI-NAI_GL-EM_yse-bs_CtoC.wav,426.1000000000284,429.50000000002893
PRS_25-02-24_BAI-NAI_GL-EM_yse-bs_CtoC.wav,434.5000000000303,436.3000000000305
PRS_25-02-24_BAI-NAI_GL-EM_yse-bs_CtoC.wav,439.60000000003146,440.7000000000315
PRS_25-02-24_BAI-NAI_GL-EM_yse-bs_CtoC.wav,440.90000000003175,442.900000000032
PRS_25-02-24_BAI-NAI_GL-EM_yse-bs_CtoC.wav,443.8000000000324,445.80000000003264
PRS_25-02-24_BAI-NAI_GL-EM_yse-bs_CtoC.wav,447.6000000000333,449.80000000003355
PRS_25-02-24_BAI-NAI_GL-EM_yse-bs_CtoC.wav,449.9000000000338,451.60000000003396
PRS_25-02-24_BAI-NAI_GL-EM_yse-bs_CtoC.wav,451.7000000000342,455.4000000000348
PRS_25-02-24_BAI-NAI_GL-EM_yse-bs_CtoC.wav,459.2000000000359,460.9000000000361
PRS_25-02-24_BAI-NAI_GL-EM_yse-bs_CtoC.wav,464.70000000003716,471.2000000000384
PRS_25-02-24_BAI-NAI_GL-EM_yse-bs_CtoC.wav,472.800000000039,480.10000000004044
PRS_25-02-24_BAI-NAI_GL-EM_yse-bs_CtoC.wav,482.1000000000411,484.10000000004135
PRS_25-02-24_BAI-NAI_GL-EM_yse-bs_CtoC.wav,484.40000000004164,488.50000000004235
PRS_25-02-24_BAI-NAI_GL-EM_yse-bs_CtoC.wav,489.5000000000428,497.2000000000443
PRS_25-02-24_BAI-NAI_GL-EM_yse-bs_CtoC.wav,504.8000000000463,505.9000000000463
PRS_25-02-24_BAI-NAI_GL-EM_yse-bs_CtoC.wav,509.8000000000474,511.40000000004756
PRS_25-02-24_BAI-NAI_GL-EM_yse-bs_CtoC.wav,515.1000000000486,517.1000000000488
PRS_25-02-24_BAI-NAI_GL-EM_yse-bs_CtoC.wav,517.200000000049,519.1000000000492
PRS_25-02-24_BAI-NAI_GL-EM_yse-bs_CtoC.wav,519.6000000000496,522.20000000005
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,1.7000000000000004,2.7
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,50.300000000000445,52.50000000000046
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,53.30000000000049,54.40000000000049
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,58.50000000000056,60.30000000000057
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,77.89999999999985,78.89999999999985
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,79.99999999999973,81.29999999999971
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,85.39999999999942,87.69999999999935
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,87.99999999999928,92.99999999999905
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,96.59999999999879,98.89999999999871
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,100.69999999999855,101.79999999999855
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,102.39999999999846,103.99999999999842
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,104.19999999999835,106.39999999999829
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,107.69999999999816,110.49999999999805
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,114.19999999999779,115.79999999999775
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,119.79999999999747,123.39999999999732
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,129.39999999999694,131.59999999999687
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,133.7999999999967,134.89999999999668
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,136.39999999999654,138.39999999999648
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,141.59999999999624,142.59999999999624
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,144.39999999999608,146.09999999999604
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,149.5999999999958,151.79999999999572
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,153.49999999999557,155.7999999999955
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,156.5999999999954,158.39999999999534
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,160.49999999999517,161.79999999999515
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,162.09999999999508,163.09999999999508
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,166.9999999999948,168.49999999999477
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,206.19999999999257,213.39999999999222
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,229.89999999999122,230.89999999999122
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,238.49999999999073,239.49999999999073
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,252.19999999998996,253.89999999998992
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,261.599999999991,263.8999999999913
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,291.8999999999979,292.8999999999979
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,293.09999999999815,295.0999999999984
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,303.0000000000004,308.0000000000013
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,327.700000000006,331.4000000000066
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,342.6000000000094,345.3000000000098
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,348.50000000001074,349.50000000001074
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,353.90000000001197,355.8000000000122
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,362.700000000014,364.90000000001424
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,372.20000000001613,373.20000000001613
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,373.7000000000165,376.30000000001684
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,377.3000000000173,379.40000000001754
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,385.6000000000192,386.7000000000192
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,391.10000000002043,397.2000000000216
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,397.6000000000219,398.70000000002193
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,403.6000000000233,404.6000000000233
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,404.80000000002354,408.8000000000242
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,412.0000000000252,414.0000000000254
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,416.4000000000262,417.4000000000262
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,419.6000000000269,420.80000000002696
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,421.10000000002725,422.90000000002743
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,423.0000000000277,424.5000000000278
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,432.7000000000299,433.8000000000299
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,441.2000000000318,445.2000000000325
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,452.9000000000345,455.60000000003487
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,462.2000000000366,464.2000000000368
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,474.5000000000394,475.70000000003944
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,476.60000000003987,477.7000000000399
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,482.0000000000411,483.0000000000411
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,486.000000000042,488.2000000000423
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,497.10000000004453,499.8000000000449
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,507.70000000004694,510.6000000000474
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,539.200000000054,540.9000000000542
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,548.1000000000561,551.9000000000567
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,552.100000000057,553.6000000000571
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,557.1000000000581,558.2000000000581
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,561.7000000000592,562.9000000000592
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,567.7000000000605,569.0000000000606
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,582.5000000000639,584.6000000000641
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,590.9000000000658,596.5000000000668
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,596.8000000000671,600.3000000000677
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,602.2000000000684,603.2000000000684
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,614.1000000000711,615.3000000000711
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,621.3000000000727,622.6000000000728
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,633.5000000000755,636.4000000000759
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,636.9000000000763,637.9000000000763
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,642.3000000000775,643.5000000000775
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,646.3000000000784,647.3000000000784
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,650.1000000000793,651.1000000000793
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,668.3000000000834,669.3000000000834
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,669.6000000000837,670.7000000000837
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,675.8000000000851,676.9000000000851
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,678.1000000000856,682.0000000000863
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,703.5000000000914,708.0000000000922
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,708.4000000000925,710.7000000000928
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,710.8000000000931,712.6000000000932
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,733.7000000000983,734.7000000000983
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,735.7000000000987,737.5000000000989
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,739.3000000000995,740.4000000000996
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,746.0000000001011,747.2000000001011
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,751.9000000001024,753.9000000001026
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,761.2000000001045,763.7000000001049
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,765.4000000001055,766.9000000001056
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,772.5000000001071,773.5000000001071
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,785.40000000011,786.40000000011
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,789.0000000001108,790.2000000001109
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,791.6000000001114,792.7000000001115
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,795.5000000001123,798.1000000001127
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,799.5000000001132,800.5000000001132
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,807.200000000115,809.1000000001152
PRS_25-02-24_HRT_GL_yne-bse_CtoC.wav,824.800000000119,827.5000000001194
